<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20190731;050400;5.5599000;5.5609000;5.5569000;5.5603000;62
20190731;050500;5.5588400;5.5609000;5.5571000;5.5596100;145
20190731;050600;5.5595900;5.5609000;5.5571000;5.5599000;357
20190731;050700;5.5590000;5.5609000;5.5571000;5.5604000;427
20190731;050800;5.5603000;5.5611000;5.5555000;5.5604000;401
20190731;050900;5.5600000;5.5611000;5.5573000;5.5604000;256
20190731;051000;5.5600000;5.5630000;5.5572000;5.5606000;290
20190731;051100;5.5595000;5.5612000;5.5577000;5.5601000;417
20190731;051200;5.5601000;5.5612000;5.5577000;5.5600000;542
20190731;051300;5.5603000;5.5611000;5.5578000;5.5601000;412
20190731;051400;5.5605000;5.5613000;5.5578000;5.5601000;93
20190731;051500;5.5605000;5.5609000;5.5580000;5.5601000;134
20190731;051600;5.5605000;5.5611000;5.5579000;5.5600000;252
20190731;051700;5.5600000;5.5611000;5.5576000;5.5586000;190
20190731;051800;5.5605000;5.5610000;5.5577000;5.5600000;110
20190731;051900;5.5604000;5.5611000;5.5576000;5.5600000;177
20190731;052000;5.5604000;5.5611000;5.5575000;5.5599000;155
20190731;052100;5.5600000;5.5612000;5.5573000;5.5600000;478
20190731;052200;5.5600000;5.5610000;5.5575000;5.5600000;426
20190731;052300;5.5599000;5.5611000;5.5575000;5.5598000;339
20190731;052400;5.5604000;5.5610000;5.5578000;5.5601000;127
20190731;052500;5.5604000;5.5607000;5.5578000;5.5599000;125
20190731;052600;5.5605000;5.5615000;5.5578000;5.5605000;222
20190731;052700;5.5608000;5.5614000;5.5581000;5.5595600;97
20190731;052800;5.5595600;5.5614000;5.5579000;5.5604000;99
20190731;052900;5.5604000;5.5612000;5.5580000;5.5604000;144
20190731;053000;5.5607000;5.5612000;5.5575000;5.5603000;443
20190731;053100;5.5601000;5.5611000;5.5576000;5.5593000;273
20190731;053200;5.5606000;5.5613000;5.5578000;5.5603000;107
20190731;053300;5.5606000;5.5612000;5.5577000;5.5603000;112
20190731;053400;5.5606000;5.5612000;5.5577000;5.5602000;178
20190731;053500;5.5606000;5.5607000;5.5578000;5.5603000;125
20190731;053600;5.5606000;5.5611000;5.5581000;5.5591000;166
20190731;053700;5.5585000;5.5606000;5.5578000;5.5593900;132
20190731;053800;5.5590000;5.5611000;5.5579000;5.5601000;117
20190731;053900;5.5601000;5.5612000;5.5579000;5.5593700;172
20190731;054000;5.5601000;5.5610000;5.5577000;5.5601000;203
20190731;054100;5.5601000;5.5611000;5.5578000;5.5601000;165
20190731;054200;5.5591000;5.5611000;5.5577000;5.5610000;174
20190731;054300;5.5601000;5.5612000;5.5578000;5.5602000;170
20190731;054400;5.5603000;5.5618000;5.5581000;5.5608000;425
20190731;054500;5.5610000;5.5616000;5.5580000;5.5608000;77
20190731;054600;5.5608000;5.5611300;5.5596400;5.5602000;62
20190731;054700;5.5608000;5.5611300;5.5584000;5.5609000;99
20190731;054800;5.5608000;5.5616000;5.5588000;5.5609000;78
20190731;054900;5.5609000;5.5611800;5.5582000;5.5608000;170
20190731;055000;5.5610000;5.5615000;5.5580000;5.5596200;123
20190731;055100;5.5606000;5.5612000;5.5579000;5.5599000;145
20190731;055200;5.5607000;5.5610000;5.5579000;5.5609000;139
20190731;055300;5.5605000;5.5610000;5.5580000;5.5606000;149
20190731;055400;5.5604000;5.5613000;5.5579000;5.5607000;148
20190731;055500;5.5609000;5.5616000;5.5581000;5.5607000;104
20190731;055600;5.5607000;5.5616000;5.5584000;5.5609000;122
20190731;055700;5.5606000;5.5610000;5.5582000;5.5606000;57
20190731;055800;5.5606000;5.5614000;5.5580000;5.5606000;102
20190731;055900;5.5606000;5.5614000;5.5580000;5.5606000;43
